"ID","DateTime","Rumination","Activity"
470,"2021-04-08 18:00:00",66,38
470,"2021-04-08 20:00:00",43,51
470,"2021-04-08 22:00:00",41,45
470,"2021-04-09 00:00:00",58,37
470,"2021-04-09 02:00:00",65,32
470,"2021-04-09 04:00:00",25,54
470,"2021-04-09 06:00:00",70,32
470,"2021-04-09 08:00:00",28,68
470,"2021-04-09 10:00:00",50,39
470,"2021-04-09 12:00:00",29,76
470,"2021-04-09 14:00:00",79,43
470,"2021-04-09 16:00:00",38,45
470,"2021-04-09 18:00:00",32,71
470,"2021-04-09 20:00:00",74,40
470,"2021-04-09 22:00:00",53,46
470,"2021-04-10 00:00:00",68,29
470,"2021-04-10 02:00:00",74,28
470,"2021-04-10 04:00:00",46,50
470,"2021-04-10 06:00:00",49,52
470,"2021-04-10 08:00:00",30,34
470,"2021-04-10 10:00:00",24,94
470,"2021-04-10 12:00:00",64,45
470,"2021-04-10 14:00:00",28,42
470,"2021-04-10 16:00:00",44,71
470,"2021-04-10 18:00:00",48,37
470,"2021-04-10 20:00:00",56,46
470,"2021-04-10 22:00:00",35,48
470,"2021-04-11 00:00:00",77,28
470,"2021-04-11 02:00:00",35,43
470,"2021-04-11 04:00:00",72,48
470,"2021-04-11 06:00:00",79,29
470,"2021-04-11 08:00:00",29,42
470,"2021-04-11 10:00:00",59,43
470,"2021-04-11 12:00:00",55,42
470,"2021-04-11 14:00:00",39,61
470,"2021-04-11 16:00:00",57,41
470,"2021-04-11 18:00:00",34,52
470,"2021-04-11 20:00:00",65,51
470,"2021-04-11 22:00:00",46,52
470,"2021-04-12 00:00:00",84,31
470,"2021-04-12 02:00:00",52,29
470,"2021-04-12 04:00:00",51,51
470,"2021-04-12 06:00:00",37,64
470,"2021-04-12 08:00:00",50,53
470,"2021-04-12 10:00:00",59,37
470,"2021-04-12 12:00:00",23,75
470,"2021-04-12 14:00:00",24,78
470,"2021-04-12 16:00:00",63,35
470,"2021-04-12 18:00:00",27,82
470,"2021-04-12 20:00:00",86,37
470,"2021-04-12 22:00:00",40,66
470,"2021-04-13 00:00:00",70,35
470,"2021-04-13 02:00:00",79,50
470,"2021-04-13 04:00:00",43,51
470,"2021-04-13 06:00:00",57,46
470,"2021-04-13 08:00:00",51,57
470,"2021-04-13 10:00:00",56,53
470,"2021-04-13 12:00:00",35,85
470,"2021-04-13 14:00:00",21,92
470,"2021-04-13 16:00:00",71,39
470,"2021-04-13 18:00:00",50,47
470,"2021-04-13 20:00:00",25,81
470,"2021-04-13 22:00:00",80,37
470,"2021-04-14 00:00:00",29,52
470,"2021-04-14 02:00:00",61,54
470,"2021-04-14 04:00:00",96,32
470,"2021-04-14 06:00:00",48,59
470,"2021-04-14 08:00:00",11,68
470,"2021-04-14 10:00:00",81,32
470,"2021-04-14 12:00:00",16,95
470,"2021-04-14 14:00:00",30,86
470,"2021-04-14 16:00:00",87,32
470,"2021-04-14 18:00:00",37,65
470,"2021-04-14 20:00:00",43,58
470,"2021-04-14 22:00:00",74,42
470,"2021-04-15 00:00:00",57,42
470,"2021-04-15 02:00:00",39,56
470,"2021-04-15 04:00:00",86,36
470,"2021-04-15 06:00:00",41,49
470,"2021-04-15 08:00:00",43,54
470,"2021-04-15 10:00:00",62,31
470,"2021-04-15 12:00:00",7,105
470,"2021-04-15 14:00:00",51,68
470,"2021-04-15 16:00:00",87,39
470,"2021-04-15 18:00:00",38,64
470,"2021-04-15 20:00:00",61,45
470,"2021-04-15 22:00:00",43,64
470,"2021-04-16 00:00:00",70,30
470,"2021-04-16 02:00:00",56,35
470,"2021-04-16 04:00:00",41,47
470,"2021-04-16 06:00:00",24,62
470,"2021-04-16 08:00:00",44,60
470,"2021-04-16 10:00:00",69,33
470,"2021-04-16 12:00:00",12,96
470,"2021-04-16 14:00:00",42,73
470,"2021-04-16 16:00:00",53,60
470,"2021-04-16 18:00:00",41,71
470,"2021-04-16 20:00:00",75,42
470,"2021-04-16 22:00:00",60,33
470,"2021-04-17 00:00:00",74,38
470,"2021-04-17 02:00:00",47,31
470,"2021-04-17 04:00:00",51,55
470,"2021-04-17 06:00:00",25,70
470,"2021-04-17 08:00:00",39,59
470,"2021-04-17 10:00:00",46,63
470,"2021-04-17 12:00:00",67,60
470,"2021-04-17 14:00:00",54,32
470,"2021-04-17 16:00:00",31,64
470,"2021-04-17 18:00:00",21,86
470,"2021-04-17 20:00:00",92,35
470,"2021-04-17 22:00:00",41,73
470,"2021-04-18 00:00:00",88,46
470,"2021-04-18 02:00:00",71,34
470,"2021-04-18 04:00:00",59,56
470,"2021-04-18 06:00:00",54,30
470,"2021-04-18 08:00:00",55,50
470,"2021-04-18 10:00:00",40,57
470,"2021-04-18 12:00:00",7,101
470,"2021-04-18 14:00:00",53,78
470,"2021-04-18 16:00:00",67,37
470,"2021-04-18 18:00:00",33,80
470,"2021-04-18 20:00:00",60,51
470,"2021-04-18 22:00:00",92,33
470,"2021-04-19 00:00:00",41,65
470,"2021-04-19 02:00:00",62,34
470,"2021-04-19 04:00:00",42,74
470,"2021-04-19 06:00:00",80,46
470,"2021-04-19 08:00:00",60,53
470,"2021-04-19 10:00:00",51,39
470,"2021-04-19 12:00:00",34,101
470,"2021-04-19 14:00:00",34,86
470,"2021-04-19 16:00:00",65,55
470,"2021-04-19 18:00:00",35,75
470,"2021-04-19 20:00:00",57,71
470,"2021-04-19 22:00:00",57,44
470,"2021-04-20 00:00:00",55,61
470,"2021-04-20 02:00:00",46,54
470,"2021-04-20 04:00:00",59,43
470,"2021-04-20 06:00:00",85,30
470,"2021-04-20 08:00:00",21,93
470,"2021-04-20 10:00:00",62,46
470,"2021-04-20 12:00:00",47,71
470,"2021-04-20 14:00:00",45,64
470,"2021-04-20 16:00:00",56,35
470,"2021-04-20 18:00:00",21,83
470,"2021-04-20 20:00:00",67,45
470,"2021-04-20 22:00:00",52,35
470,"2021-04-21 00:00:00",71,30
470,"2021-04-21 02:00:00",52,38
470,"2021-04-21 04:00:00",2,63
470,"2021-04-21 06:00:00",33,77
470,"2021-04-21 08:00:00",53,54
470,"2021-04-21 10:00:00",34,94
470,"2021-04-21 12:00:00",50,62
470,"2021-04-21 14:00:00",42,78
470,"2021-04-21 16:00:00",81,43
470,"2021-04-21 18:00:00",50,46
470,"2021-04-21 20:00:00",79,50
470,"2021-04-21 22:00:00",39,63
470,"2021-04-22 00:00:00",60,33
470,"2021-04-22 02:00:00",85,32
470,"2021-04-22 04:00:00",51,56
470,"2021-04-22 06:00:00",58,50
470,"2021-04-22 08:00:00",23,88
470,"2021-04-22 10:00:00",78,36
470,"2021-04-22 12:00:00",4,103
470,"2021-04-22 14:00:00",71,70
470,"2021-04-22 16:00:00",51,45
470,"2021-04-22 18:00:00",87,39
470,"2021-04-22 20:00:00",1,115
470,"2021-04-22 22:00:00",81,43
470,"2021-04-23 00:00:00",69,31
470,"2021-04-23 02:00:00",54,60
470,"2021-04-23 04:00:00",59,57
470,"2021-04-23 06:00:00",61,30
470,"2021-04-23 08:00:00",57,63
470,"2021-04-23 10:00:00",52,63
470,"2021-04-23 12:00:00",31,82
470,"2021-04-23 14:00:00",43,82
470,"2021-04-23 16:00:00",53,60
